League,Country
Ceska liga,Czech Republic
3 Liga,Germany
Allsvenskan,Sweden
Belgium Pro League,Belgium
Bundesliga,Germany
Bundesliga 2,Germany
Calcio B,Italy
Campeonato Scotiabank,Chile
CSL,China PR
Dominos Ligue 2,France
EFL Championship,England
EFL League One,England
EFL League Two,England
Ekstraklasa,Poland
Eliteserien,Norway
Eredivisie,Holland
Finnliiga,Finland
Hellas Liga,Greece
Hyundai A-League,Australia
K LEAGUE Classic,Korea Republic
LaLiga 1 i 2 i 3,Spain
LaLiga Santander,Spain
League of Russia,Russia
LIGA Bancomer MX,Mexico
Liga Dimayor,Colombia
Liga Hrvatska,Croatia
Liga NOS,Portugal
Ligue 1 Conforama,France
Major League Soccer,United States
Meiji Yasuda J1 League,Japan
Osterreichische Fussball-Bundesliga,Austria
Premier League,England
Raiffeisen Super League,Switzerland
SAF,Argentina
Saudi Professional League,Saudi Arabia
Scottish Premiership,Scotland
Serie A TIM,Italy
South African FL,South Africa
SSE Airtricity League,Republic of Ireland
Super Lig,Turkey
Superliga,Denmark
Ukrayina Liha,Ukraine
